order_id,item_id,taiwan_price
10001,93,NT$70
10001,677,NT$230
10001,97,NT$100
10002,31,NT$190
10002,72,NT$270
10002,29,NT$290
10003,72,NT$270
10003,72,NT$270
10003,31,NT$190
10003,29,NT$290
10004,74,NT$250
10004,30,NT$240
10004,29,NT$290
10005,74,NT$250
10005,97,NT$100
10005,92,NT$70
10005,30,NT$240
10005,665,NT$340
10006,29,NT$290
10006,97,NT$100
10006,66,NT$220
10006,30,NT$240
10007,29,NT$290
10007,30,NT$240
10007,93,NT$70
10007,93,NT$70
10007,677,NT$230
10008,97,NT$100
10008,30,NT$240
10009,30,NT$240
10009,72,NT$270
10009,97,NT$100
10010,97,NT$100
10010,97,NT$100
10010,31,NT$190
10011,677,NT$230
10011,71,NT$220
10011,71,NT$220
10011,677,NT$230
10011,84,NT$100
10012,97,NT$100
10012,29,NT$290
10012,677,NT$230
10012,82,NT$90
10013,82,NT$90
10013,71,NT$220
10014,72,NT$270
10014,72,NT$270
10015,84,NT$100
10015,71,NT$220
10015,93,NT$70
10015,83,NT$90
10016,29,NT$290
10016,93,NT$70
10017,67,NT$370
10017,71,NT$220
10017,677,NT$230
10017,665,NT$340
10017,73,NT$250
10018,677,NT$230
10018,84,NT$100
10019,66,NT$220
10019,84,NT$100
10019,29,NT$290
10020,84,NT$100
10020,677,NT$230
10020,74,NT$250
10021,84,NT$100
10021,66,NT$220
10021,30,NT$240
10021,74,NT$250
10021,29,NT$290
10022,677,NT$230
10022,92,NT$70
10022,67,NT$370
10022,66,NT$220
10023,97,NT$100
10023,92,NT$70
10023,665,NT$340
10024,93,NT$70
10024,92,NT$70
10024,72,NT$270
10024,665,NT$340
10024,677,NT$230
10025,97,NT$100
10025,72,NT$270
10025,74,NT$250
10026,97,NT$100
10026,72,NT$270
10026,29,NT$290
10027,677,NT$230
10027,677,NT$230
10028,82,NT$90
10028,72,NT$270
10028,97,NT$100
10029,29,NT$290
10029,93,NT$70
10029,74,NT$250
10029,31,NT$190
10029,74,NT$250
10030,29,NT$290
10030,82,NT$90
10030,83,NT$90
10031,82,NT$90
10031,84,NT$100
10031,30,NT$240
10031,67,NT$370
10032,84,NT$100
10032,31,NT$190
10032,31,NT$190
10033,92,NT$70
10033,67,NT$370
10034,82,NT$90
10034,74,NT$250
10034,677,NT$230
10034,72,NT$270
10034,31,NT$190
10035,82,NT$90
10035,83,NT$90
10035,665,NT$340
10035,29,NT$290
10036,93,NT$70
10036,67,NT$370
10036,97,NT$100
10036,74,NT$250
10037,71,NT$220
10037,31,NT$190
10037,72,NT$270
10038,665,NT$340
10038,30,NT$240
10038,66,NT$220
10038,66,NT$220
10038,66,NT$220
10039,74,NT$250
10039,71,NT$220
10039,30,NT$240
10039,97,NT$100
10040,67,NT$370
10040,93,NT$70
10040,67,NT$370
10040,66,NT$220
10040,82,NT$90
10041,93,NT$70
10041,92,NT$70
10042,73,NT$250
10042,97,NT$100
10042,29,NT$290
10042,30,NT$240
10043,82,NT$90
10043,97,NT$100
10044,67,NT$370
10044,72,NT$270
10044,74,NT$250
10044,74,NT$250
10044,97,NT$100
10045,74,NT$250
10045,31,NT$190
10045,73,NT$250
10046,29,NT$290
10046,665,NT$340
10046,67,NT$370
10046,82,NT$90
10047,71,NT$220
10047,66,NT$220
10047,73,NT$250
10047,665,NT$340
10048,82,NT$90
10048,67,NT$370
10048,83,NT$90
10048,84,NT$100
10048,74,NT$250
10049,92,NT$70
10049,84,NT$100
10049,82,NT$90
10050,29,NT$290
10050,82,NT$90
10051,72,NT$270
10051,31,NT$190
10052,67,NT$370
10052,73,NT$250
10052,83,NT$90
10052,83,NT$90
10053,31,NT$190
10053,92,NT$70
10053,82,NT$90
10054,665,NT$340
10054,84,NT$100
10054,84,NT$100
10054,74,NT$250
10055,29,NT$290
10055,93,NT$70
10056,92,NT$70
10056,73,NT$250
10056,665,NT$340
10056,93,NT$70
10057,67,NT$370
10057,665,NT$340
10057,97,NT$100
10058,83,NT$90
